id,slug,name,blurb,url,category_name,category_slug,category_parent,backers_count,goal,goal_currency,pledged,pledged_currency,currency,usd_pledged,fx_rate,percent_funded,state,launched_at,deadline,created_at,state_changed_at,duration,location_name,location_city,location_state,location_country,location_country_name,creator_id,creator_name,creator_slug,creator_url,creator_biography,creator_websites,creator_backed_count,creator_projects_count,creator_joined_at,creator_location_name,creator_location_state,creator_location_country,creator_location_country_name,comments_count,updates_count,watches_count,has_video,video_url,is_staff_pick,is_project_we_love,spotlight,faq_count,reward_count,campaign_story_text,campaign_word_count,campaign_ai_mentions,risks,faqs,rewards,image_url
326371619,innervoice-discover-your-voice-inside,InnerVoice - Discover your voice inside,"A simple, AI-powered journaling app that makes self-reflection effortless and meaningful.",https://www.kickstarter.com/projects/nikoserafino/innervoice-discover-your-voice-inside,Software,technology/software,Technology,1,37500.0,EUR,250.0,EUR,EUR,270.859425,1.18175372,0.6666666666666667,failed,2025-04-01T16:29:10+00:00,2025-04-26T16:29:10+00:00,2025-02-04T18:14:01+00:00,2025-04-26T16:29:27+00:00,,"Yogyakarta, Indonesia",Yogyakarta,Special Region of Yogyakarta,ID,Indonesia,818528639,Niklaus Serafino Setiadi,nikoserafino,https://www.kickstarter.com/profile/nikoserafino,,,,,,,,,,,,,False,,False,False,False,,,,,,,,,https://i.kickstarter.com/assets/048/676/300/a40ab24f86c5db1317a35d52e28408c1_original.jpg?anim=false&fit=cover&gravity=auto&height=315&origin=ugc&q=92&v=1743025156&width=560&sig=socqIQBqaMONUzwvppnYJgCdO5%2BMWo2eQL%2Fah%2BKNO2k%3D
2138190447,the-complete-genai-cybersecurity-program,The Complete GenAI Cybersecurity Program,Strengthen Your AI Powered Cybersecurity Skills & Learn to Safeguard GenAI Systems.,https://www.kickstarter.com/projects/eduonix/the-complete-genai-cybersecurity-program,Software,technology/software,Technology,62,500.0,USD,6521.0,USD,USD,6521.0,1.0,1304.2,successful,2025-10-01T12:26:13+00:00,2025-10-22T12:26:13+00:00,2025-09-25T11:48:02+00:00,2025-10-22T12:26:19+00:00,,"Orlando, FL",Orlando,FL,US,United States,1311831077,Eduonix Learning Solutions,eduonix,https://www.kickstarter.com/profile/eduonix,,,,,,,,,,,,,True,https://v2.kickstarter.com/1770573499-wv2mhRIqWhNTs4Hdndm%2FIXWBvCZSXMs7oRB%2Bj6ibpBI%3D/projects/5221101/video-1390045-h264_high.mp4,False,False,True,,,,,,,,,https://i.kickstarter.com/assets/051/064/288/a4a8d1a51b3e77f38aed1015c3a16365_original.jpg?anim=false&fit=cover&gravity=auto&height=315&origin=ugc&q=92&v=1759299082&width=560&sig=L%2BzBd3B1qJPrkoVgthCg%2BGdLzUjaC%2FT%2FcpZZaWCHOVE%3D
367036435,reduxbuds-ai-powered-noise-cancelling-true-wireless-earbuds,ReduxBuds: AI Powered Noise Cancelling True Wireless Earbuds,Experience the future of true wireless audio with AI noise cancellation and nano graphene speakers,https://www.kickstarter.com/projects/reduxaudio/reduxbuds-ai-powered-noise-cancelling-true-wireless-earbuds,Technology,technology,,4038,25000.0,HKD,3064459.85,HKD,HKD,395260.650686276,0.12797789,12257.8394,successful,2020-04-07T18:30:27+00:00,2020-05-19T18:30:27+00:00,2020-03-11T20:09:48+00:00,2020-05-19T18:30:27+00:00,,"Guangzhou, China",Guangzhou,Guangdong,CN,China,1333594472,Redux Audio,reduxaudio,https://www.kickstarter.com/profile/reduxaudio,,,,,,,,,,,,,True,https://v2.kickstarter.com/1770580258-YVGYrF2e%2FpoS3CumaW%2BZ18Y0v%2BN5sSx6yCg6lsbz3xA%3D/projects/3911917/video-1026968-h264_high.mp4,False,False,True,,,,,,,,,https://i.kickstarter.com/assets/028/552/269/58a8430ad780b7daa00bd74df4213693_original.jpg?anim=false&fit=cover&gravity=auto&height=315&origin=ugc&q=92&v=1585332748&width=560&sig=La7UPpsI88JWYjqEV0TMjei53sLxN4wNuhNtQ53Xiqc%3D
1351058102,gradepilot,GradePilot (Canceled),"GradePilot simplifies academic success with real-time grade tracking, GPA calculations, and AI-powered study plans for smarter learning",https://www.kickstarter.com/projects/713553301/gradepilot,Software,technology/software,Technology,1,13500.0,USD,10.0,USD,USD,10.0,1.0,0.07407407407407407,canceled,2025-02-04T00:19:42+00:00,2025-04-04T23:19:42+00:00,2024-12-20T10:06:22+00:00,2025-02-10T02:45:43+00:00,,"San Antonio, TX",San Antonio,TX,US,United States,713553301,John Carreras,,https://www.kickstarter.com/profile/713553301,,,,,,,,,,,,,False,,False,False,False,,,,,,,,,https://i.kickstarter.com/assets/048/034/337/bd61a7bb7481708a704dd6d3b7ff4c2a_original.JPG?anim=false&fit=cover&gravity=auto&height=315&origin=ugc&q=92&v=1738459934&width=560&sig=pg2be344jPo5zB%2FlQL%2BnRl7B9AItL4kSTZQKJQ6iSYU%3D
1732891143,wonwood,AI PET CYCLOPIA,Free Your Inner Mood.,https://www.kickstarter.com/projects/wonwood/wonwood,Robots,technology/robots,Technology,2,6000.0,USD,229.0,USD,USD,229.0,1.0,3.816666666666667,failed,2025-12-10T07:57:21+00:00,2026-02-08T07:57:21+00:00,2025-11-11T00:53:13+00:00,2026-02-08T07:57:21+00:00,,"Oklahoma City, OK",Oklahoma City,OK,US,United States,640693770,WONWOOD,wonwood,https://www.kickstarter.com/profile/wonwood,,,,,,,,,,,,,False,,False,False,False,,,,,,,,,https://i.kickstarter.com/assets/051/628/119/2fff2b8e02eff038e4be8690971c39cf_original.png?anim=false&fit=cover&gravity=auto&height=315&origin=ugc&q=92&v=1762936897&width=560&sig=ReRdqC%2BC2CtzJ94iHAvoBh1nxWUa02SaWis2yNS9cIk%3D
727851488,the-complete-godot-game-development-generative-ai-bundle,The Complete Godot Game Development Generative AI Bundle+,"Unlock AI & Game Dev with Godot: Dive deep, code games, master AI, and redefine your tech future. Pledge now!",https://www.kickstarter.com/projects/johnbura/the-complete-godot-game-development-generative-ai-bundle,Technology,technology,,71,500.0,CAD,5725.29,CAD,CAD,4216.0868954061,0.73070038,1145.058,successful,2023-10-11T09:00:23+00:00,2023-11-01T04:00:00+00:00,2023-09-25T14:20:01+00:00,2023-11-01T04:00:00+00:00,,"Vancouver, Canada",Vancouver,BC,CA,Canada,1555758454,Mammoth Interactive,johnbura,https://www.kickstarter.com/profile/johnbura,,,,,,,,,,,,,True,https://v2.kickstarter.com/1770511640-YmyHyDR%2FskPLKI8SWXw2am7ngGrvoGIPwFK2UtHdfyI%3D/projects/4661288/video-1253410-h264_high.mp4,False,False,True,,,,,,,,,https://i.kickstarter.com/assets/042/468/148/324dfe1105788deafd62dd5f00942e51_original.png?anim=false&fit=cover&gravity=auto&height=315&origin=ugc&q=92&v=1695830017&width=560&sig=QTlGUhVTPBvyOLA5LSsLt5%2BMdm33VnbxVN7mtn8tIfs%3D
842254628,ai-dreaming-palindromes,AI DREAMING: Palindromes - Illustrated with Midjourney AI,"How does an art-generating AI interpret silly human wordplay? A book of whimsical, odd & lovely images inspired by classic palindromes.",https://www.kickstarter.com/projects/fiddleheadpress/ai-dreaming-palindromes,Art Books,publishing/art books,Publishing,74,500.0,USD,2544.0,USD,USD,2544.0,1.0,508.8,successful,2022-09-09T14:17:26+00:00,2022-09-30T03:15:00+00:00,2022-08-27T00:52:23+00:00,2022-09-30T03:15:00+00:00,,"Seattle, WA",Seattle,WA,US,United States,1438528787,Fiddlehead Press,fiddleheadpress,https://www.kickstarter.com/profile/fiddleheadpress,,,,,,,,,,,,,True,https://v2.kickstarter.com/1770536614-Xd7LywyndiFVbXISa4Kyecru44yRRcfNOOX6nNuVIl4%3D/projects/4425799/video-1187829-h264_high.mp4,True,False,True,,,,,,,,,https://i.kickstarter.com/assets/038/726/016/2c8fef6a270a160340b0f23ae16742c3_original.jpg?anim=false&fit=cover&gravity=auto&height=315&origin=ugc&q=92&v=1664320374&width=560&sig=VQFm6lGhVIOzc9R5twVrrrwZrEDETy1vwNjYNHcpoLI%3D
1841142000,magic-box-s1-a-fingertip-aluminum-toy,Magic Box-S1: A Fingertip Metal Tactile Toy,"Function 10 in 1 丨TI/CU/AI丨Super Mini丨Metal Handle丨Fingertip Gyroscope丨Fidget丨Addicted to Gadgets, Can't Stop",https://www.kickstarter.com/projects/sb-s/magic-box-s1-a-fingertip-aluminum-toy,Gadgets,technology/gadgets,Technology,1996,800.0,USD,162109.0,USD,USD,162109.0,1.0,20263.625,successful,2024-07-01T13:00:07+00:00,2024-07-26T13:00:07+00:00,2024-04-10T06:20:28+00:00,2024-07-26T13:00:07+00:00,,"Colorado Springs, CO",Colorado Springs,CO,US,United States,1924768421,SANBS,sb-s,https://www.kickstarter.com/profile/sb-s,,,,,,,,,,,,,True,https://v2.kickstarter.com/1770568960-QzxD4STkyJc3SXk0Fitn56l%2FSfCxSxXmzBW6iJORxoE%3D/projects/4785734/video-1299497-h264_high.mp4,False,False,True,,,,,,,,,https://i.kickstarter.com/assets/045/847/575/f0a3744a1f48621a7268d254488c2830_original.jpg?anim=false&fit=cover&gravity=auto&height=315&origin=ugc&q=92&v=1721926916&width=560&sig=%2FgtyfXPkDN4wKYE%2FY7t63YktyqwiZvTAFGTUCwHcqoI%3D
2144101193,lithops-the-ai-powered-history-telling-mobile-app,Lithops: The AI powered history telling mobile App,"Meet legends across the globe who are eager to share stories, inspiration, and memories with you!",https://www.kickstarter.com/projects/lithopsapp/lithops-the-ai-powered-history-telling-mobile-app,Apps,technology/apps,Technology,37,10000000.0,JPY,5146762.0,JPY,JPY,44737.7140088,0.0063613,51.467620000000004,failed,2021-12-31T14:50:34+00:00,2022-01-30T14:50:34+00:00,2021-11-28T02:20:48+00:00,2022-01-30T14:50:35+00:00,,"Tokyo, Japan",Tokyo,Tokyo Prefecture,JP,Japan,805753715,MechaPal,lithopsapp,https://www.kickstarter.com/profile/lithopsapp,,,,,,,,,,,,,True,https://v2.kickstarter.com/1770541545-ubleOCZnODM9tpGvkjUibXYiQK6SZ41bcspOa7fC78c%3D/projects/4276146/video-1138954-h264_high.mp4,False,False,False,,,,,,,,,https://i.kickstarter.com/assets/035/709/510/90c9b6fc31ac1ac9babd2f56d7530c0c_original.png?anim=false&fit=cover&gravity=auto&height=315&origin=ugc&q=92&v=1638114987&width=560&sig=pklGNqQTYIGS96Jz9XZoCclOjCaA3xOohRV7wWfthSU%3D
99302505,kit-of-autonomous-mobile-robot-with-ros-kiss-ai,KIT of Autonomous Mobile Robot with ROS kiss AI,For Professional. This is ROBOT Kit by using ROS. -素人向けではありません。 ROBOT用のOSにROS(Robot Operating System)を採用し、AIを搭載した、自律移動ROBOTのキットです。,https://www.kickstarter.com/projects/flipiphonecase/kit-of-autonomous-mobile-robot-with-ros-kiss-ai,Technology,technology,,1,3300000.0,JPY,100.0,JPY,JPY,0.940955,0.0063613,0.0030303030303030303,failed,2018-04-01T23:38:00+00:00,2018-05-31T23:38:00+00:00,2018-03-16T06:21:30+00:00,2018-05-31T23:38:01+00:00,,"Tokyo, Japan",Tokyo,Tokyo Prefecture,JP,Japan,2130212234,柏木　明博,flipiphonecase,https://www.kickstarter.com/profile/flipiphonecase,,,,,,,,,,,,,True,https://v2.kickstarter.com/1770564999-MOwgR45%2BWxSt7q5jUlUvcz%2FM7dFEROnD30pZMhYmmZc%3D/projects/3295598/video-869035-h264_high.mp4,False,False,False,,,,,,,,,https://i.kickstarter.com/assets/020/570/585/6dbad87f05334fe8c7d1bf23a41acae4_original.JPG?anim=false&fit=cover&gravity=auto&height=315&origin=ugc&q=92&v=1521181499&width=560&sig=jd3rY%2B7%2FsZZuUFQo2rfl%2B9KAextIwim6bA3%2BkpPhezY%3D
